Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
bab-dev-rpa-apps-01,Deployment/du-services-fe,2,0.2500,1.0000,0.5000,2.0000,SHARED
bab-dev-rpa-apps-01,Deployment/du-services-ikc,2,0.2500,1.0000,0.5000,2.0000,SHARED
babamldev,Deployment/sas-catalog-services,1,0.5000,0.4883,0.5000,0.4883,SHARED
babamldev,Deployment/sas-configuration,1,0.5000,0.0488,0.5000,0.0488,SHARED
babamldev,Deployment/sas-discovery-services,1,0.5000,0.4883,0.5000,0.4883,SHARED
babamldev,Deployment/sas-logon-app,1,0.5000,1.0000,0.5000,1.0000,SHARED
babamldev,Deployment/sas-microanalytic-score,1,0.5000,0.7500,0.5000,0.7500,SHARED
babamldev,Deployment/sas-web-assets,1,0.5000,0.7324,0.5000,0.7324,SHARED
openshift-mta,Deployment/mta-hub,1,0.5000,1.0000,0.5000,1.0000,SHARED
bab-dev-dgpdpl-bigid-01,StatefulSet/bigid-elasticsearch-data,2,0.2500,0.2500,0.5000,0.5000,SHARED
bab-dev-dgpdpl-bigid-01,StatefulSet/bigid-mq,1,0.5000,0.4883,0.5000,0.4883,SHARED
babamldev,StatefulSet/sas-opendistro-single-node,1,0.5000,10.0000,0.5000,10.0000,SHARED
openshift-oauth-apiserver,Deployment/apiserver,3,0.1500,0.1953,0.4500,0.5859,SHARED
openshift-user-workload-monitoring,StatefulSet/prometheus-user-workload,2,0.2050,2.0557,0.4100,4.1113,SHARED
openshift-cloud-controller-manager,Deployment/azure-cloud-controller-manager,2,0.2000,0.0488,0.4000,0.0977,SHARED
rmbdev,Deployment/kony-fabric-engagement,2,0.2000,0.0000,0.4000,0.0000,SHARED
rmbdev,Deployment/kony-fabric-identity,2,0.2000,0.3000,0.4000,0.6000,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-ptl-930a1aac-www,1,0.3500,2.0000,0.3500,2.0000,SHARED
openshift-apiserver,Deployment/apiserver,3,0.1100,0.2441,0.3300,0.7324,SHARED
