Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
open-cluster-management-agent-addon,Deployment/managed-serviceaccount-addon-agent,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-azure-operator,Deployment/aro-operator-master,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-azure-operator,Deployment/aro-operator-worker,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-cluster-observability-operator,Deployment/distributed-tracing,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-cluster-observability-operator,Deployment/logging,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-logging,Deployment/cluster-logging-operator,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-mta,Deployment/rhsso-operator,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-operators-redhat,Deployment/loki-operator-controller-manager,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-operators,Deployment/amq-broker-controller-manager,1,0.0000,0.0000,0.0000,0.0000,SHARED
openshift-operators,Deployment/istio-operator,1,0.0000,0.0000,0.0000,0.0000,SHARED
projectsha,Deployment/web-app,2,0.0000,0.0000,0.0000,0.0000,SHARED
q-test,Deployment/bab-startup-service,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,StatefulSet/sonar-postgresql,0,0.1000,0.1953,0.0000,0.0000,SHARED
bab-azure-devops-agents,StatefulSet/sonar-sonarqube,0,0.4000,2.0480,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-01,StatefulSet/bigid-mongodb,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-privacy-01,StatefulSet/pp-postgresql-camunda-postgresql,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-privacy-01,StatefulSet/pp-postgresql-user-manager-postgresql,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-privacy-01,StatefulSet/pp-rabbitmq,3,0.0000,0.0000,0.0000,0.0000,SHARED
babamldev,StatefulSet/sas-workload-orchestrator,0,1.0000,4.0000,0.0000,0.0000,SHARED
