"SubscriptionId","VMName","ResourceGroup","OS","ExtensionPresent","ExtensionType","ProvisioningState","ExtensionVersion"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DATOSAPSWV1","BAB-SIT-TOS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DATOSAPSWV2","BAB-SIT-TOS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DATOSAPSWV3","BAB-SIT-TOS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DATOSAPSWV4","BAB-SIT-TOS-SWEC-RG-01","Windows","No","Not Installed","N/A","N/A"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAVNVAPSWV1","BAB-SIT-VNV-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAVNVDBSQSWV1","BAB-SIT-VNV-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DABIBADLDSWV1","BAB-SIT-WAS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAIBGADLDSWV1","BAB-SIT-WAS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAIBGADLDTWV1","BAB-SIT-WAS-SWEC-RG-01","Windows","No","Not Installed","N/A","N/A"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAIBGAPDMILV1","BAB-SIT-WAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAIBGAPWSILV1","BAB-SIT-WAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAIBGAPWSILV2","BAB-SIT-WAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAIBGWBWSIWV1","BAB-SIT-WAS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASDEAPPSWV1","SIT-SDE-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASDESDBSQSWV1","SIT-SDE-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
