"SubscriptionId","SubscriptionName","VaultName","VaultResourceGroup","VaultLocation","MachineName","ReplicationHealth","ProtectionState","ProtectionStateDescription","ReplicationProvider","FabricName","ContainerName","DiskCount","TotalDiskSizeGB","CacheStorageGB","DiskDetails","MonthlyCostSavings","AnnualCostSavings","ASRInstanceCost","DiskStorageCost","LastRpoCalculatedTime","RpoInSeconds","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPAPFEOWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DEVAVDPHEA-5","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRCRMDBWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPDBSQDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMODWBSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","Dev-Mobl-BNK-Web-01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMODDBSQWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSApWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRCRMWBWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DEVAVDPHSA-0","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DATEMDBSQSWV1","Critical","Protected","Protected","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMORADLV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACASDBLV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACRMCTIDVWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAAMTWBKTSWV1","Critical","Protected","Protected","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DEVAVDPHSA-1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASASAPAISLV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMODAPTSSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACRMCTISTWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
