"SubscriptionId","ResourceGroup","MigrateProject","MachineName","TargetVMName","TargetResourceGroup","ReplicationStatus","DiskCount","TotalDiskSizeGB","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BABAPSPDWV2",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ACEDBORDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RRRWBWBILV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2NCRAPXXIWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MQBMWMBDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SMSGWCOIWV2",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RMBAPWSDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2OBPDBSQDWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ETLAPDHDWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SAPAPDMDWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MUBWBMGIWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2TDBAPXXIWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2AMLAPSNIWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IAMDBDMDWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2OPSAPPJDWV3",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BPMAPWSDWV5",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IBGAPWSDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","d2apiapmwilv2",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SAQWBWSDWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MODDBORDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MQBMWMBSLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BIBADLDUWV1",,,"Initial replication failed","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2FISAPCRILV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2FISDBORILV3",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RRRAPAUDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MQHAPQMDLV2",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SDBDBORDLV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2TMSAPMOILV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MFAAPWSILV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MFADBORILV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MUBAPJBIWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ENJADDCTWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2DHBDBSQIWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IBGAPWSILV2",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ENTDBSQIWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2PBIDBSQDWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
