vmName,resourceGroup,subscription,recoveryResourceGroupId,recoveryContainerId,recoveryAzureNetworkId,recoverySubnetName
DASHPAPFEOWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DASHPAPFEWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DASHPDBSQDWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-db-02
DASHPDBSQOWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-db-02
DASHPDBSQWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-db-02
DASHPFEDBDWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DASHPWBDWV1,dev-sharepoint-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-shp-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-web-01
DASLMAPDZDLV01,dev-slm-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-slm-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-nw-weeu-rg-01/providers/Microsoft.Network/virtualNetworks/bab-core-nw-weeu-vnet-dmz-01,snet-dmz-shared-app-01
DASLMAPENDLV01,dev-slm-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-slm-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-web-01
DASLMAPINDLV01,dev-slm-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-slm-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
