"ProposedLogicApp","ExistingLogicApps","VmCount","VMs","Result","Backup","Error"
"bab-dev-snai-appweb-start-01","ststv2_snai_dev_vms_Scheduled_start","3","DASAIADAPDWV01;DASAIPRAIDLV01;DASAITRAIDLV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_snai_dev_vms_Scheduled_start-20260830-230754.json",""
"bab-dev-svcnow-appweb-start-01","bab-svc-dev_vms_Scheduled_start","3","DASNWAPTMDLV1;DASNWAPTMDWV1;DASNWWBTMDWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-svc-dev_vms_Scheduled_start-20260830-230805.json",""
"bab-dev-svcnow-db-start-01","bab-svc-dev_db_Scheduled_start","1","DASNWDBORDLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-svc-dev_db_Scheduled_start-20260830-230820.json",""
"bab-dev-tfs-appweb-start-01","ststv2_tfs-f_dev_vms_Scheduled_start","3","DTAZRTFSAPWV03;DTAZRTFSDBWV1;DTAZRTFSMWWV02","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_tfs-f_dev_vms_Scheduled_start-20260830-230831.json",""
"bab-dev-tfs-appweb-start-02","ststv2_tfs_dev_vms_Scheduled_start","6","DATFSAPAIDWV1;DATFSAPOCDWV1;DTAZRTFSApWV01;DTAZRTFSAPWV02;DTAZRTFSMWWV01;DTAZRTFSMWWV03","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_tfs_dev_vms_Scheduled_start-20260830-230841.json",""
"bab-dev-upba-appweb-start-01","ststv2_upba_vms_Scheduled_start","2","DAUPBAOFOADWV01;DAUPBAOFOASWV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_upba_vms_Scheduled_start-20260830-230852.json",""
"bab-sit-abic-digital-appweb-start-01","ststv2_ABIC-DG-sit_vms_Scheduled_start","1","DAABDGAPSLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_ABIC-DG-sit_vms_Scheduled_start-20260830-230906.json",""
"bab-sit-abic-digital-db-start-01","ststv2_ABIC-DG-sit_vms_Scheduled_start","1","DAABDGORDBSLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_ABIC-DG-sit_vms_Scheduled_start-20260830-230918.json",""
"bab-sit-abic-ibm-appweb-start-01","ststv2_ABIC-ibm-sit_vms_Scheduled_start","1","DAIBMAPSLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_ABIC-ibm-sit_vms_Scheduled_start-20260830-230932.json",""
"bab-sit-abic-ibm-db-start-01","ststv2_ABIC-ibm-sit_vms_Scheduled_start","1","DAIBMDBSLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_ABIC-ibm-sit_vms_Scheduled_start-20260830-230947.json",""
"bab-sit-aix-appweb-start-01","bab_axia_sit_vms_Scheduled_appweb","2","DAAXIAPSWV1;DAAXIWBSWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_axia_sit_vms_Scheduled_appweb-20260830-231000.json",""
"bab-sit-aix-db-start-01","bab_axia_sit_vms_Scheduled_db","1","DAAXIDBSQSWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_axia_sit_vms_Scheduled_db-20260830-231043.json",""
"bab-sit-apex-appweb-start-01","bab-sit-apex-appweb-start-01","4","DAFISAPSEIWV1;DAMMPAPXXIWV1;DARRRAPAUILV1;DARRRWBWBILV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-apex-db-start-01","bab-sit-apex-db-start-01","2","DAMMPDBXXIWV1;DARRRDBORILV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-aptra-appweb-start-01","bab-sit-aptra-appweb-start-01","1","DANCRAPXXIWV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-aptra-db-start-01","bab-sit-aptra-db-start-01","1","DAFCODBSQIWV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-baas-appweb-start-01","bab-sit-baas-appweb-start-01","3","DABASAPKASLV01;DABASAPKASLV02;DABASAPKASLV03","SKIPPED_TARGET_EXISTS","",""
"bab-sit-baas-db-start-01","bab-sit-baas-db-start-01","1","DABASDBRDSLV01","SKIPPED_TARGET_EXISTS","",""
"bab-sit-bds-appweb-start-01","bab-sit-bds-appweb-start-01","1","DABDMAPWBSWV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-bds-db-start-01","bab-sit-bds-db-start-01","1","DABDMDBSQSWV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-bo-appweb-start-01","bab_bo_sit_appsweb_scheduled_start","2","D2SAPWBBOIWV1;DAMISAPXXTWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_bo_sit_appsweb_scheduled_start-20260830-231104.json",""
"bab-sit-bo-appweb-start-02","bab_BOWeb_sit_appsweb_scheduled_start","2","DABORAPXXTWV1;DASAPAPBOIWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_BOWeb_sit_appsweb_scheduled_start-20260830-231115.json",""
"bab-sit-bpm-appweb-start-01","bab-sit-bpm-appweb-start-01","2","DABPMAPWSDWV6;DABPMAPWSILV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-bpm-db-start-01","bab-sit-bpm-db-start-01","1","DABPMDBORSLV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-bsi-appweb-start-01","bab_bsi_sit_vms_Scheduled_appweb","1","DABSIAPPSLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_bsi_sit_vms_Scheduled_appweb-20260830-231128.json",""
"bab-sit-bsi-db-start-01","bab_bsi_sit_vms_Scheduled_db","1","DABSIDBSLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_bsi_sit_vms_Scheduled_db-20260830-231140.json",""
"bab-sit-cashinst-appweb-start-01","BAB-SIT-CASHINST-SWEC-RG-01","1","DATCRAPMOILV2","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\BAB-SIT-CASHINST-SWEC-RG-01-20260830-231150.json",""
"bab-sit-cashinst-db-start-01","BAB-SIT-DB-CASHINST-SWEC-RG-01","1","DATCRDBSQIWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\BAB-SIT-DB-CASHINST-SWEC-RG-01-20260830-231202.json",""
"bab-sit-ccas-appweb-start-01","bab-sit-ccas-appweb-start-01","1","DACCAAPNGIWV1","SKIPPED_TARGET_EXISTS","",""
"bab-sit-cdc-kfk-appweb-start-01","bab-sit-cdc-kfk-appweb-start-01","12","DACDCAPBRSLV01;DACDCAPBRSLV02;DACDCAPBRSLV03;DACDCAPCCSLV01;DACDCAPCNSLV01;DACDCAPCNSLV02;DACDCAPCTSLV01;DACDCAPCTSLV02;DACDCAPCTSLV03;DACDCAPSRSLV01;DACDCAPSRSLV02;DACDCAPSWV01","SKIPPED_TARGET_EXISTS","",""
"bab-sit-cdc-kfk-db-start-01","bab-sit-cdc-kfk-db-start-01","1","DACDCORDBSWV01","SKIPPED_TARGET_EXISTS","",""
"bab-sit-cortex-appweb-start-01","ststv2_cortex_sit_vms_Scheduled_start","1","DARECAPJBIWV2","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_cortex_sit_vms_Scheduled_start-20260830-231215.json",""
"bab-sit-cortex-db-start-01","ststv2_cortex_sit_db_Scheduled_start","1","DARECDBORILV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_cortex_sit_db_Scheduled_start-20260830-231226.json",""
"bab-sit-crtxup-appweb-start-01","bab-sit-crtxup-appweb-start-01","4","DACTXAPGUILV01;DACTXAPSWILV01;DAISTAPGUILV01;DAISTAPSWILV01","SKIPPED_TARGET_EXISTS","",""
"bab-sit-crtxup-db-start-01","bab-sit-crtxup-db-start-01","1","DACTXDBORILV01","SKIPPED_TARGET_EXISTS","",""
"bab-sit-dex-upg-appweb-start-01","bab-sit-dex-upg-appweb-start-01","2","DADEXAPIISWV01;DADEXIXOAPSWV01","SKIPPED_TARGET_EXISTS","",""
