Deployment	bab-dev-dgpdpl-bigid-01	bigid-scanner	1	2;1	3Gi;1Gi		
Deployment	bab-dev-dgpdpl-bigid-01	bigid-ui	1	250m	256Mi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-web	1	250m	500Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	data-retention-ui-service	1	100m	256Mi		
Deployment	bab-dev-dgpdpl-bigid-01	data-retention-web-gateway	1	100m	256Mi		
Deployment	bab-dev-dgpdpl-bigid-01	informatica-edc	1	500m	256Mi		
Deployment	bab-dev-dgpdpl-bigid-01	ucapi	1	0	0		
Deployment	bab-dev-dgpdpl-bigid-01	ucapi-nginx-reverse-proxy	1	0	0		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	camunda-testing	1	150m	400Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-audit-manager	1	500m	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-authentication-manager	1	1	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-camunda-engine	1	1	8000Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-clamav-service	1	1	3000Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-communication-manager	1	500m	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-connectors-manager	1	1	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-consents-manager	1	500m	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-consumer-verification-manager	1	500m	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-frontend-app	1	150m	100Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-job-scheduler	1	500m	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-onboarding-service	1	1	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-report-service	1	500m	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-settings-manager	1	500m	2500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-user-request-manager	1	1	1500Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-bigidme-workflow-management	1	500m	2000Mi		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-postgresql-camunda-pgpool	2	0	0		
Deployment	bab-dev-dgpdpl-bigid-privacy-01	pp-postgresql-user-manager-pgpool	2	0	0		
Deployment	bab-dev-newbib	accountservices	1	0	0		
Deployment	bab-dev-newbib	arxidam	1	0	0		
Deployment	bab-dev-newbib	arxlauncher	1	600m	950Mi		
Deployment	bab-dev-newbib	arxsso	1	0	0		
Deployment	bab-dev-newbib	arxwebapp	1	0	0		
Deployment	bab-dev-newbib	azdo-agent	1	500m	512Mi		
Deployment	bab-dev-newbib	baseimage	1	0	0		
Deployment	bab-dev-newbib	cbxflash	1	0	0		
Deployment	bab-dev-newbib	cpadminservicescbx	1	0	0		
Deployment	bab-dev-newbib	dtbwebappcbx	1	0	0		
Deployment	bab-dev-newbib	entlwebcbx	1	0	0		
Deployment	bab-dev-newbib	ofapplication	1	0	0		
Deployment	bab-dev-newbib	ofscheduler	1	800m	1907Mi		
Deployment	bab-dev-newbib	paymentsalertservice	1	0	0		
Deployment	bab-dev-newbib	paymentschargesservice	1	0	0		
Deployment	bab-dev-newbib	paymentservice	1	0	0		
Deployment	bab-dev-newbib	paymentservicescbx	1	0	0		
Deployment	bab-dev-newbib	paymentsinquiryservice	1	0	0		
Deployment	bab-dev-newbib	paymentsonboardingservice	1	0	0		
Deployment	bab-dev-newbib	pncweb	1	0	0		
Deployment	bab-dev-newbib	producttourcbx	1	0	0		
Deployment	bab-dev-newbib	statementservicescbx	1	0	0		
Deployment	bab-dev-newbib	xxarxidamxx	1	0	0		
Deployment	bab-dev-observe	dev-baas-collector	1	0	0		
Deployment	bab-dev-observe	tempo-dev-tempo-compactor	1	90m	164282496		
